"  POŽÁRNÍ    VODOU",,1,2,3,4,5,ks/výk,Kč bez DPH
" Prohlídka zařízení od 6 do 10 ks výtoků",159,1,,,,,1,"159,00"
" Kontrola zařízení bez měření průtoku od 6 do 10 ks výtoků",246,1,,,,,1,"246,00"
" Měření průtoku á 1 ks vnitřní hydrant.systémů typu D/C",95,4,,,,,4,"380,00"
" Měření průtoku á 1 ks vnější odběrní místo - podzemní hydrant",179,5,,,,,5,"895,00"
" Hod.sazba (pochůzky po objektu/ manipulace s HP/PV + další=dohod",450,"0,45",,,,,"0,45","202,50"
" C e l k e m  kontroly pro zásobování požární vodou",,"1882,5",0,0,0,0,,"1 882,50"
