cislo;cislo_vyr;zkratka;skupina;nazev;s_jednotky;s_dodavatel;dodavatel;dopl_udaj_zb;dopl_u1_udaj;dopl_u1_kusu;dopl_u1_kod;dopl_u2_udaj;dopl_u2_kusu;dopl_u2_kod;dopl_u3_udaj;dopl_u3_kusu;dopl_u3_kod;dopl_u4_udaj;dopl_u4_kusu;dopl_u4_kod;dopl_u5_udaj;dopl_u5_kusu;dopl_u5_kod;dopl_u6_udaj;dopl_u6_kusu;dopl_u6_kod;dopl_u7_udaj;dopl_u7_kusu;dopl_u7_kod;dopl_u8_udaj;dopl_u8_kusu;dopl_u8_kod;dopl_u9_udaj;dopl_u9_kusu;dopl_u9_kod;dopl_u10_udaj;dopl_u10_kusu;dopl_u10_kod;cena_n_prum;cena_n_posl;sazba_dph;dph_r;s_dph;cena_p1;cena_p1_dph;dph_p1;cena_p2;cena_p2_dph;dph_p2;cena_p3;cena_p3_dph;dph_p3;cena_p4;cena_p4_dph;dph_p4;oznaceni;cis_pozn;hmotnost;kusu;kusu_rezer;kusu_pozad;kusu_balen;min_zas;max_zas;typ_pol;spraz_pol;sp_typ_pol;sp_cislo;sp_kod;sp_skupina;sp_zkratka;sp_nazev;sp_s_jednotky;sp_mnozstvi;sp_prijimat;sp_t_slev_c_saz;sp_h_slev_c_saz;sp_c_slev_c_saz;sp_polozka_nazev;sp_polozka_cena_n;sp_polozka_dph;sp_polozka_cena_p1;sp_polozka_cena_p1_dph;sp_polozka_dph_p1;sp_polozka_cena_p2;sp_polozka_cena_p2_dph;sp_polozka_dph_p2;sp_polozka_cena_p3;sp_polozka_cena_p3_dph;sp_polozka_dph_p3;sp_polozka_cena_p4;sp_polozka_cena_p4_dph;sp_polozka_dph_p4;sp_polozka_rezerva;sp_polozka_rezerva2;sp_polozka_kusu;sp_polozka_kusu_rezer;sp_polozka_kusu_pozad;sp_polozka_kusu_balen;sp_polozka_hmotnost;sp_polozka_oznaceni;sp_polozka_kdy_bude;sp_polozka_souct_udaj;cis_podskl;do_i_obchodu;int_obchod_popis_adr;int_obchod_popis_soub;int_obchod_obrazek_adr;int_obchod_obrazek_soub;int_obchod_vyrobce;int_obchod_perex;int_obchod_kategorie;int_obchod_poradi;int_obchod_nove;int_obchod_akce;int_obchod_tip;k_cena_jedn;n_cena_jedn;vyr_cisla;souct_udaj;slevy_pc;vazena_polozka;rezerva;recykl_prisp;recykl_prisp_dph;recykl_prisp_pouziti;Unnamed: 127;cena;jednotka
36;vv151;Spoj.B75 had;VODA;B75 spojka hadicová AL;pár;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.28;182.28;1;0.21;21.0;227.851;275.7;0.21;0.0;0.0;0.21;0.0;0.0;0.21;186.033;225.1;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
37;vv152;Spoj.B75 pev.;VODA;B75 spojka pevná AL;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104.5;104.5;1;0.21;21.0;134.711;163.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;110.0;133.1;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
187;02187006;Těs.kož.nástB75;ND VODA;B75 těsnění nástavce kožené 110;ks;Výzbrojna požární ochrany;792.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.0;30.0;1;0.21;21.0;36.942;44.7;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;110;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
562;02562001;Těs.pry.nástB75;ND VODA;B75 těsnění nástavce pryžové 110;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.0;45.0;1;0.21;21.0;56.281;68.1;0.21;0.0;0.0;0.21;0.0;0.0;0.21;33.719;40.8;0.21;;760;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
322;soch018;Těs.sp.B75 MANŽ;ND VODA;B75 těsnění pryžové/manžeta spojky;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.33;8.33;1;0.21;21.0;10.413;12.6;0.21;0.0;0.0;0.21;0.0;0.0;0.21;8.512;10.3;0.21;1.0;230;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
564;soch008;Těs.spoj.B75 PL;ND VODA;B75 těsnění pryžové/ploché spojky;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.39;5.39;1;0.21;21.0;6.777;8.2;0.21;0.0;0.0;0.21;0.0;0.0;0.21;5.537;6.7;0.21;1.0;780;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
45;vv153;Víčko B75 AL;VODA;B75 víčko tlakové AL;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105.0;105.0;1;0.21;21.0;131.24;158.8;0.21;0.0;0.0;0.21;0.0;0.0;0.21;102.893;124.5;0.21;;40;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
107;HOT;AKU;ČIDLO;Baterie (AKU)  alkalická 9V;ks;DS TECHNIK s.r.o.;1841.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.15;33.15;1;0.21;21.0;46.4;56.14;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
401;;PREVENT C52;VODA;C52 - Ochrana hadic PREVENT;ks;PREVENT s.r.o.;991.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197.3;197.3;1;0.21;21.0;252.81;305.9;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.3;0;0;0;0;5;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
43;02430003;Dvířka skř.C52;ND VODA;C52 - dvířka k hydrantové skříni;ks;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120.0;120.0;1;0.21;21.0;189.669;229.5;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
123;02123004;Pero spoj.C52;ND VODA;C52 - pero ocelové spojky;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.5;1;0.21;21.0;3.306;4.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
571;02571003;C52 HADLOCK;VODA;C52 HADLOCK;ks;HASTEX a HASPR spol. s r.o.;7.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;1;0.21;21.0;246.529;298.3;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
301;ZYFIRE;Had.C52 TECHNO;VODA;C52 hadice ZYFIRE TECHNO /spojka AL;ks;IDEAL SPACE s.r.o.;1476.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;744.0;744.0;1;0.21;21.0;1503.967;1819.8;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;800;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
305;TECHNOLEN;Had.C52 TECHMA;VODA;C52 hadice chem. TECHMATEX spoj.AL;ks;TECHNOLEN WF a.s.;20.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;1;0.21;21.0;2000.0;2420.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;850;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
314;hvv159;Had.C52 hydr.AL;VODA;C52 hadice pož. HYDRANT / spojka AL;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;990.0;990.0;1;0.21;21.0;1237.521;1497.4;0.21;0.0;0.0;0.21;0.0;0.0;0.21;1100.0;1331.0;0.21;1.0;190;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
223;hvv008;Had.C52 zás. AL;VODA;C52 hadice pož. ZÁSAH /spojka AL;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1098.02;1098.02;1;0.21;21.0;1372.479;1660.7;0.21;0.0;0.0;0.21;0.0;0.0;0.21;1220.0;1476.2;0.21;;130;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
302;ZYFIR;Had.C52 hydr.AL;VODA;C52 hadice pož.hyd.ZYFIRE/spojka AL;ks;IDEAL SPACE s.r.o.;1476.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;660.0;660.0;1;0.21;21.0;990.0;1197.9;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;810;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
331;ksc001;SYS C52 50x57 P;VODA;C52 hydrantový systém ČSN EN 671-2;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4250.0;4250.0;1;0.21;21.0;5312.479;6428.1;0.21;0.0;0.0;0.21;0.0;0.0;0.21;4165.041;5039.7;0.21;1.0;240;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
27;vv107;Hydrant C52 AL;VODA;C52 nástěnný hydrant/kohout AL;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;441.75;441.75;1;0.21;21.0;569.669;689.3;0.21;0.0;0.0;0.21;0.0;0.0;0.21;465.041;562.7;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
533;vv107;Hydrant C52 MS;VODA;C52 nástěnný hydrant/kohout MS;ks;Červinka-Czech Republic s.r.o.;942.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;499.0;499.0;1;0.21;21.0;875.041;1058.8;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
268;vv113;Proud.C52 AL 3c;VODA;C52 proudnice PVC/AL kombi(třícest);ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;550.0;550.0;1;0.21;21.0;660.0;798.6;0.21;0.0;0.0;0.21;0.0;0.0;0.21;539.008;652.2;0.21;2.0;150;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
203;vv116;Proud.C52 TURBO;VODA;C52 proudnice TAJFUN-TURBO;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360.05;360.05;1;0.21;21.0;464.298;561.8;0.21;0.0;0.0;0.21;0.0;0.0;0.21;379.008;458.6;0.21;;120;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
24;vv115;Proud.C52 PVC3c;VODA;C52 proudnice plast.kombi.(třícest);ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;460.6;460.6;1;0.21;21.0;575.785;696.7;0.21;0.0;0.0;0.21;0.0;0.0;0.21;470.0;568.7;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
120;vv102;Proud.C52 PVC2c;VODA;C52 proudnice plastová (dvoucestná);ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;387.0;387.0;1;0.21;21.0;464.38;561.9;0.21;0.0;0.0;0.21;0.0;0.0;0.21;379.256;458.9;0.21;;90;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
534;HH;Skř.C52 50x57HH;VODA;C52 skříň násť.hydrantu 50x57x18cm;ks;HASTEX a HASPR spol. s r.o.;7.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;840.0;840.0;1;0.21;21.0;1091.983;1321.3;0.21;1008.017;1219.7;0.21;923.967;1118.0;0.21;0.0;0.0;0.21;1.0;980;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
