nazev;cena;jednotka;kategorie;kategorie_orig
Pojistka sp.armatury 4/6 PKT Kovo.;25.041;ks;ND_HP;ND HP
Pojistný ventil 19bar W+PG;88.926;ks;ND_HP;ND HP
Pojistný ventil 19bar W+PG REPAS;46.116;ks;ND_HP;ND HP
Pojistný ventil S6;0.0;ks;ND_HP;ND HP
Proudnice S1,5;51.24;ks;ND_HP;ND HP
Proudnice S2;87.107;ks;ND_HP;ND HP
"Proudnice S30 1""/3/4""";798.347;ks;ND_HP;ND HP
"Proudnice S6 - 1"" Kodreta";399.835;ks;ND_HP;ND HP
"Proudnice S6(5) - 3/4"" Kodreta";399.835;ks;ND_HP;ND HP
Proudnice T6H;243.471;ks;ND_HP;ND HP
Páka P6,V8Pa, P6Tlm;12.81;ks;ND_HP;ND HP
Páka PG4,6,V8L;19.256;ks;ND_HP;ND HP
Páka ventilu poj.HP P50TE;103.967;ks;ND_HP;ND HP
"Přechod z 1"" na 3/4"" - mosazný";55.124;ks;ND_HP;ND HP
"Přechod z 1"" na 3/4"" - ocelový";116.86;ks;ND_HP;ND HP
"Přechod z 3/4"" na 1"" - ocelový";41.983;ks;ND_HP;ND HP
Příchytka pojistky PG,V - L/Le;1.901;ks;ND_HP;ND HP
"Sada těsnění přechodu 1""/3/4""";10.0;ks;ND_HP;ND HP
Stahovací matice PVC P6Pa;12.81;ks;ND_HP;ND HP
Stoupací (sací) trubice P6Pa;12.81;ks;ND_HP;ND HP
Stoupací trubice PG6Hi 1,2;89.339;ks;ND_HP;ND HP
Stoupací trubice W10Hi 1,2;89.339;ks;ND_HP;ND HP
Tlak. patrona 135 g PG6Hi 1,2;562.479;ks;ND_HP;ND HP
Tlak. patrona 135 g PG6Hi 1,2 REPAS;51.24;ks;ND_HP;ND HP
Tlak. patrona 51 g W10Hi 1,2;298.182;ks;ND_HP;ND HP
Tlak. patrona 51 g W10Hi 1,2 REPAS;44.876;ks;ND_HP;ND HP
Tlaková patrona 120g P6Pa;153.802;ks;ND_HP;ND HP
Tlaková patrona 120g P6Pa (repas);51.24;ks;ND_HP;ND HP
Tryska PG2L Tepostop;2.479;ks;ND_HP;ND HP
Táhlo 2PA46293 P6Tlm;32.066;ks;ND_HP;ND HP
Táhlo PG4,6,V8L;19.256;ks;ND_HP;ND HP
Táhlo sestavené PG1,2L (AA00310);25.62;ks;ND_HP;ND HP
Táhlo sestavené PG4,6,V8L;19.256;ks;ND_HP;ND HP
Táhlo sestavené PG4,6,V8Le;25.62;ks;ND_HP;ND HP
Těs.kroužek přep.šroubu V8Pa;6.446;ks;ND_HP;ND HP
"Těsn.hadice S6 3/4"" PVC K2 19x12x2";1.405;ks;ND_HP;ND HP
Těsnící kroužek tlak.patrony W6,10;8.595;ks;ND_HP;ND HP
Těsnění 23x14x2 na hadici S30;5.124;ks;ND_HP;ND HP
Těsnění hlavy P6Pa;3.802;ks;ND_HP;ND HP
Těsnění kroužek teflonový T6H;57.686;ks;ND_HP;ND HP
Těsnění patrony 449908 P6Pa;9.008;ks;ND_HP;ND HP
Těsnění pod ventil S6 23x14x2;1.405;ks;ND_HP;ND HP
Těsnění pojist.ventilu W10/PG Hi1,2;6.033;ks;ND_HP;ND HP
Těsnění ventilu P1,2,6Tlm;3.802;ks;ND_HP;ND HP
Uzavírací membrána W10Hi1,2,DIN;15.785;ks;ND_HP;ND HP
Ventil (pistole) S1.5 KODRETA;123.058;ks;ND_HP;ND HP
Ventil HP PG1/2 L/LE;218.76;ks;ND_HP;ND HP
Ventil HP PG4L/Le;237.107;ks;ND_HP;ND HP
Ventil S1,5 Kodreta pákový;333.223;ks;ND_HP;ND HP
Ventil S1.5 pákový;333.223;ks;ND_HP;ND HP
Ventil S30 pákový - KODRETA;2819.339;ks;ND_HP;ND HP
Ventil S6 Vřetenový - KODRETA;256.281;ks;ND_HP;ND HP
