nazev;cena;jednotka;kategorie;kategorie_orig
Baterie (AKU)  alkalická 9V;46.4;ks;CIDLO;ČIDLO
Detektor CO - SFT-111-LCD;385.0;ks;CIDLO;ČIDLO
Detektor CO GS819 HH (život.10let);486.0;ks;CIDLO;ČIDLO
Hlásič kouře GS506 HH;124.8;ks;CIDLO;ČIDLO
Hlásič kouře GS508 HH;435.0;ks;CIDLO;ČIDLO
Magnetický držák GS571 HH;77.0;ks;CIDLO;ČIDLO
