nazev;cena;jednotka;kategorie
Hlásič kouře GS506 HH;124.8;ks;ČIDLO
Detektor CO - SFT-111-LCD;385.0;ks;ČIDLO
Hlásič kouře GS508 HH;435.0;ks;ČIDLO
Magnetický držák GS571 HH;77.0;ks;ČIDLO
Detektor CO GS819 HH (život.10let);486.0;ks;ČIDLO
Baterie (AKU)  alkalická 9V;46.4;ks;ČIDLO
